-,-,,1,,
1,ウルトビイズ現状復旧工事,,2,2010/11/8,2010/11/12
2,第一体育館ブレーカ故障取替,,3,,
3,音楽室照明器具取替,,3,,2010/11/19
4,近藤茂様邸,,6,,
5,アンテナ取替工事,,7,,2010/11/13
6,多目的ホール照明リモコンリレー故障修理,2010/11/24,5,,
7,多目的ホール床ピット内ブレーカ取替工事,,5,,2010/11/24
8,4階大会議室ダウンライト配線改修工事,2011/1/27,5,,2011/2/1
9,笑楽亭消雪ポンプ電源工事,,2,,
10,ＮＭＩ本社屋２階改装工事,,2,2010/11/6,2010/12/17
11,各所電気設備修繕,,4,,
12,家庭室照明器具取替,2010/11/29,4,,2010/12/3
13,照明器具取付,,2,,2010/11/22
14,荻根沢邸新築工事,,2,,
15,黒板灯取替,2010/12/20,3,,
16,保健室コンセント取替,2010/12/24,3,,
17,ＰＯＳレジ用電話配線工事,2010/12/1,11,,2010/12/14
18,吊りボルト支持金具納品,,9,,
19,図書室照明器具取替,2011/1/18,3,,
20,事務所電話工事,,5,,
21,蛍光灯等納品2011年1月分,,5,,2011/1/31
22,重複教室照明器具取替,,4,,
23,グラウンド電灯配線改修工事,,10,,
24,３階漏電に伴うブレーカ取替,,3,,2011/2/4
25,体育館前廊下コンセント取替,,3,,2011/2/3
26,会長様宅電気設備工事,,2,,2011/2/2
27,(株)サカイ綜合自動車降雪検知器取替,,12,,2011/2/2
28,第二体育館男子・女子更衣室照明器具取替,,3,,2011/2/16
29,ＪＯＹ様動力ブレーカ故障取替,,2,,
30,いしづか様照明スイッチ故障取替,,2,,
31,塚原邸電話用配管工事,,2,,2011/2/19
32,視聴覚教室テレビ設置工事,,4,,2011/3/8
33,多目的スペーステレビ設置工事,,4,,2011/3/8
34,メッセピア音響設備等点検,,5,,2011/3/17
35,リサーチコア音響設備等点検,,5,,2011/3/17
36,ＪＯＹ様フロアコンセント取替,,2,,2011/3/7
37,ＮＭＩ社長室コンセント増設工事,,2,,
38,事務所電気容量変更他工事,,15,,
39,多目的ホール床ピット内ブレーカ取替工事,,5,,2011/3/24
40,メタルハライドランプ納品,,5,,
41,水浄第４号　第一取水場深井戸水中ポンプ取替工事,,12,,2011/3/25
42,越後吉田郵便局空気調和設備模様替工事,,12,2011/2/24,2011/6/10
43,アンテナ取替工事,,8,,2011/4/14
44,ファンヒーター、製氷機,,3,,
45,保健室照明器具取替,2011/3/22,3,,
46,剣道場換気扇取替,2011/3/22,3,,
47,剣道場放送設備修理,2011/3/22,3,,
48,展示即売場ＬＥＤ照明取替工事,,5,,
49,事務所テレビアンテナ工事,2011/3/14,16,,2011/3/19
50,大川様邸リフォーム工事,2011/4/4,2,2011/4/6,2011/4/14
51,レストラン従業員便所換気扇取替,2011/4/5,5,,
52,職員室照明器具取替,2011/4/12,3,,2011/4/14
53,レフランプ納品,2011/4/13,4,,
54,三条高校脇ポンプ場電気設備修繕,2011/4/6,18,,
55,杉林様宅テレビユニット取替,2011/4/7,14,,2011/4/15
56,蛍光灯等納品2011年4月分,2011/4/1,5,2011/4/1,2011/4/30
57,ＥＺｃａｆｅ新潟駅南店新装工事,2011/5/7,2,2011/5/16,2011/6/11
58,竹野様邸新築工事,2011/4/26,12,2011/4/26,2011/8/31
59,和田様邸改装工事,,12,2011/7/4,2011/10/8
60,関本邸改装工事,,12,2011/5/16,2011/5/30
61,笹原歯科医院併用住宅新築工事,2011/7/11,2,2011/6/2,2011/9/22
62,音響ケーブル納品,,5,,
63,蛍光灯等納品2011年5月分,2011/5/1,5,2011/5/1,2011/5/31
64,やなぎ庵新装工事,2011/5/10,2,2011/5/10,2011/5/13
65,火災警報器取付,2011/5/16,19,2011/5/16,2011/5/31
66,火災警報器取付,2011/5/16,21,2011/5/16,2011/5/31
67,ＰＯＳレジ通信回線修理,2011/5/13,5,2011/5/13,2011/5/14
68,女子バスケットボール部室照明器具取替,2011/5/26,3,2011/5/27,2011/5/31
69,体育祭用放送機器点検修理,2011/4/22,3,2011/4/22,2011/5/27
70,蛍光灯等納品2011年6月分,2011/6/1,5,2011/6/1,2011/6/30
71,屋外灯光器ランプ取替,2011/5/24,20,,
72,テレビアンテナ支柱修理,2011/6/7,20,,
73,井浦様邸計器板等取替工事,2011/5/12,24,2011/5/12,2011/5/23
74,三浦様邸エアコン撤去工事,2011/5/21,24,2011/5/21,2011/5/25
75,野球部倉庫電源接続等工事,2011/6/10,25,2011/6/10,2011/6/20
76,照明器具修理,2011/5/25,26,2011/5/25,2011/6/14
77,第２７回ＳＴＦ昭栄テクニカルフェア,2011/7/4,27,2011/7/13,2011/7/16
78,エアコン設置工事,2011/6/25,23,,
79,照明器具取替,2011/7/5,5,,
80,寄宿舎扇風機取替,2011/7/5,4,,
81,殺菌灯ランプ納品,2011/7/5,4,,
82,蛍光灯納品2011年7月分,2011/7/1,5,2011/7/1,2011/7/31
83,蛍光灯納品,2011/6/27,24,,
84,皆木邸地デジアンテナ工事,2011/7/25,28,,
85,屋外時計修理,2011/8/22,4,,
86,なでしこ青空保育園電気図面作成,2011/8/3,29,,
87,スタートリング新装工事,2011/7/28,2,2011/8/1,2011/8/20
88,「ヘア・オブ・シエスタ」空調機移設工事,2011/9/1,2,2011/9/5,2011/9/6
89,家具内コンセント取付,2011/8/19,31,,
90,屋外子時計修理,2011/8/26,4,,
91,蛍光灯納品2011年9月分,2011/8/29,5,2011/8/1,2011/8/31
92,１階事務室内線電話機増設工事,2011/9/26,5,,
93,多目的ホール床ピット内ブレーカ取替工事,2011/10/5,5,,
94,各所照明器具不点灯修理,2011/9/30,3,,
95,中Ａ １組照明器具不点灯修理,2011/9/30,4,,
96,有線マイク納品,2011/9/30,5,,
97,ピンマイク納品,2011/10/14,5,,
98,上越笹原歯科医院スラブヒーター電気工事,2011/7/11,33,2011/6/2,2011/9/22
99,ファンヒーター給油ポンプ納品,2011/11/1,3,,
100,ＥＺｃａｆｅ新潟駅南店水銀灯配線改修,2011/10/15,2,,
101,ＮＭＩ会長室改装工事,2011/11/9,2,,
102,多目的ホール床ピット内ブレーカ取替工事,2011/11/14,5,,
103,(株)ノーリツ　太陽光発電システムＰＶ施工認定研修,2011/10/1,24,,
104,レストランメッセピア厨房機器増設に伴う電気設備工事,2011/11/1,5,,
105,高等部職員室照明器具取替,2011/11/10,4,,
106,(株)タナカ様社屋改装工事,2011/10/30,31,,
